"YEARMODA","SNDP","I_SNOW_ICE"
1973-01-01,NA,0
1973-01-02,NA,0
1973-01-03,NA,0
1973-01-04,NA,0
1973-01-05,NA,1
1973-01-06,NA,1
1973-01-07,NA,0
1973-01-08,10.2,1
1973-01-09,NA,1
1973-01-10,10.2,0
1973-01-11,10.2,0
1973-01-12,NA,0
1973-01-13,NA,0
1973-01-14,NA,0
1973-01-15,NA,0
1973-01-16,NA,0
1973-01-17,NA,0
1973-01-18,NA,0
1973-01-19,NA,0
1973-01-20,NA,0
1973-01-21,NA,1
1973-01-22,NA,0
1973-01-23,NA,0
1973-01-24,NA,0
1973-01-25,NA,0
1973-01-26,NA,0
1973-01-27,NA,0
1973-01-28,NA,1
1973-01-29,NA,1
1973-01-30,NA,0
1973-01-31,NA,0
1973-02-01,NA,0
1973-02-02,NA,1
1973-02-03,NA,1
1973-02-04,NA,0
1973-02-05,NA,0
1973-02-06,NA,0
1973-02-07,NA,1
1973-02-08,20.3,1
1973-02-09,10.2,0
1973-02-10,10.2,0
1973-02-11,NA,0
1973-02-12,NA,1
1973-02-13,NA,1
1973-02-14,NA,1
1973-02-15,NA,1
1973-02-16,NA,1
1973-02-17,NA,0
1973-02-18,NA,1
1973-02-19,NA,0
