"year","snow_days","total_days_recorded"
1973,45,365
1974,46,365
1975,50,365
1976,34,366
1977,72,365
1978,78,365
1979,67,365
1980,49,366
1981,35,365
1982,48,365
1983,46,365
1984,56,366
1985,52,365
1986,25,365
1987,41,365
1988,46,366
1989,54,365
1990,29,365
1991,48,365
1992,34,366
1993,59,365
1994,33,365
1995,56,365
1996,51,366
1997,58,365
1998,35,365
1999,57,365
2000,53,366
2001,40,365
2002,41,365
2003,53,365
2004,31,366
2005,47,365
2006,33,365
2007,47,365
2008,73,366
2009,46,365
2010,57,365
2011,61,365
2012,27,366
2013,59,365
2014,57,365
2015,36,365
2016,28,366
2017,23,365
2018,45,365
2019,59,365
2020,33,366
2021,39,365
2022,43,365
2023,15,365
2024,25,366
