"year","total_snow_in","snow_days","total_days_recorded"
1973,81.503937007874,12,12
1974,160.610236220472,19,19
1975,75.7086614173228,13,13
1976,38.0984251968504,15,15
1977,326.5,60,60
1978,629.988188976378,65,65
1979,262.405511811024,52,52
1980,126.716535433071,34,34
1981,54.1929133858268,17,17
1982,306.503937007874,30,30
1983,49.007874015748,27,27
1984,86.1968503937008,40,40
1985,46.3976377952756,29,29
1986,16.5,4,4
1987,137.200787401575,32,32
1988,48.2007874015748,26,26
1989,113.094488188976,32,32
1990,61.1023622047244,16,16
1991,50.3346456692913,35,35
1992,28.8070866141732,13,13
1993,104.11811023622,38,38
1994,19.2204724409449,22,22
1995,65.2165354330709,43,43
1996,67.011811023622,25,25
1997,104.11811023622,33,33
1998,24.007874015748,16,16
1999,142.905511811024,37,37
2000,130.51968503937,31,31
2001,42.1023622047244,18,18
2002,58.6141732283465,29,29
2003,65.7047244094488,30,30
2004,26.0157480314961,21,21
2005,40.3110236220472,26,26
2006,33.6062992125984,19,19
2007,47.4055118110236,23,23
2008,55.8070866141732,24,24
2009,29.3070866141732,14,14
2010,61.0118110236221,34,34
2011,112.094488188976,42,42
2012,18.007874015748,13,13
2013,86.3110236220472,36,36
2014,103.704724409449,35,35
2015,34.003937007874,17,17
2016,17.2086614173228,13,13
2017,15.2086614173228,12,12
2018,18.2047244094488,10,10
2019,84.2165354330709,37,37
2020,13.6062992125984,10,10
2021,47.4133858267717,18,18
2022,58.6141732283465,27,27
2023,3.2007874015748,2,2
2024,28,15,15
